,Unnamed: 0,Year,Month,State,Primary Mode,Illnesses,Hospitalizations,Deaths,Outbreak ID,Strain,Density (Pop./ mi2),Landarea(mi2),HDI (2017)[note 1],HDI (1995),Average High (F),Average Low (F),Length of Genome,%GC,Protein Coding Genes,Genes Overall,tRNA Genes
34,58,2014,8,Ohio,Other,7,3.0,0.0,2014 8 Ohio,O157:H7,284,40861,0.917,0.8740000000000001,77.0,56.0,5.59,50.45,"5,155","5,417",103
35,59,2014,8,Ohio,Other,3,0.0,0.0,2014 8 Ohio,O157:H7,284,40861,0.917,0.8740000000000001,77.0,56.0,5.59,50.45,"5,155","5,417",103
36,60,2005,8,Ohio,Food,18,6.0,1.0,2005 8 Ohio,O157:H7,284,40861,0.917,0.8740000000000001,77.0,56.0,5.59,50.45,"5,155","5,417",103
37,63,2011,9,Ohio,Food,4,1.0,0.0,2011 9 Ohio,O157:H7,284,40861,0.917,0.8740000000000001,65.0,44.0,5.59,50.45,"5,155","5,417",103
38,64,2011,9,Ohio,Other,3,2.0,1.0,2011 9 Ohio,O157:H7,284,40861,0.917,0.8740000000000001,65.0,44.0,5.59,50.45,"5,155","5,417",103
39,65,2002,9,Ohio,Food,13,5.0,0.0,2002 9 Ohio,O157:H7,284,40861,0.917,0.8740000000000001,65.0,44.0,5.59,50.45,"5,155","5,417",103
40,66,2015,9,Ohio,Other,4,4.0,0.0,2015 9 Ohio,O157:H7,284,40861,0.917,0.8740000000000001,65.0,44.0,5.59,50.45,"5,155","5,417",103
41,67,2010,9,Ohio,Other,5,0.0,0.0,2010 9 Ohio,O157:H7,284,40861,0.917,0.8740000000000001,65.0,44.0,5.59,50.45,"5,155","5,417",103
42,68,2009,4,Ohio,Food,3,2.0,0.0,2009 4 Ohio,O157:H7,284,40861,0.917,0.8740000000000001,73.0,52.0,5.59,50.45,"5,155","5,417",103
43,69,2006,4,Ohio,Food,7,5.0,0.0,2006 4 Ohio,O157:H7,284,40861,0.917,0.8740000000000001,73.0,52.0,5.59,50.45,"5,155","5,417",103
44,70,1999,4,Ohio,Food,12,1.0,0.0,1999 4 Ohio,O157:H7,284,40861,0.917,0.8740000000000001,73.0,52.0,5.59,50.45,"5,155","5,417",103
45,71,2014,2,Ohio,Other,3,0.0,0.0,2014 2 Ohio,O157:H7,284,40861,0.917,0.8740000000000001,52.0,32.0,5.59,50.45,"5,155","5,417",103
46,73,2011,2,Ohio,Other,3,1.0,0.0,2011 2 Ohio,O157:H7,284,40861,0.917,0.8740000000000001,52.0,32.0,5.59,50.45,"5,155","5,417",103
47,76,2014,1,Ohio,Other,3,1.0,0.0,2014 1 Ohio,O157:H7,284,40861,0.917,0.8740000000000001,40.0,24.0,5.59,50.45,"5,155","5,417",103
48,77,2015,1,Ohio,Other,3,0.0,0.0,2015 1 Ohio,O157:H7,284,40861,0.917,0.8740000000000001,40.0,24.0,5.59,50.45,"5,155","5,417",103
49,78,2017,1,Ohio,Other,4,2.0,0.0,2017 1 Ohio,O157:H7,284,40861,0.917,0.8740000000000001,40.0,24.0,5.59,50.45,"5,155","5,417",103
50,80,2014,5,Ohio,Other,4,0.0,0.0,2014 5 Ohio,O157:H7,284,40861,0.917,0.8740000000000001,82.0,61.0,5.59,50.45,"5,155","5,417",103
51,84,1999,10,Ohio,Food,47,23.0,0.0,1999 10 Ohio,O157:H7,284,40861,0.917,0.8740000000000001,52.0,35.0,5.59,50.45,"5,155","5,417",103
52,85,2003,10,Ohio,Food,10,1.0,0.0,2003 10 Ohio,O157:H7,284,40861,0.917,0.8740000000000001,52.0,35.0,5.59,50.45,"5,155","5,417",103
53,87,2002,11,Ohio,Food,5,1.0,0.0,2002 11 Ohio,O157:H7,284,40861,0.917,0.8740000000000001,41.0,26.0,5.59,50.45,"5,155","5,417",103
54,89,2011,5,Louisiana,Other,8,4.0,0.0,2011 5 Louisiana,O157:H7,108,43204,0.89,0.8490000000000001,89.0,74.0,5.59,50.45,"5,155","5,417",103
55,90,2011,11,Louisiana,Other,2,2.0,0.0,2011 11 Louisiana,O157:H7,108,43204,0.89,0.8490000000000001,64.0,47.0,5.59,50.45,"5,155","5,417",103
56,91,2012,11,Louisiana,Other,3,0.0,0.0,2012 11 Louisiana,O157:H7,108,43204,0.89,0.8490000000000001,64.0,47.0,5.59,50.45,"5,155","5,417",103
57,93,2012,8,Louisiana,Food,3,2.0,0.0,2012 8 Louisiana,O157:H7,108,43204,0.89,0.8490000000000001,87.0,72.0,5.59,50.45,"5,155","5,417",103
58,94,2013,10,Louisiana,Other,3,1.0,0.0,2013 10 Louisiana,O157:H7,108,43204,0.89,0.8490000000000001,72.0,53.0,5.59,50.45,"5,155","5,417",103
59,95,2015,3,Louisiana,Other,15,12.0,0.0,2015 3 Louisiana,O157:H7,108,43204,0.89,0.8490000000000001,78.0,60.0,5.59,50.45,"5,155","5,417",103
60,97,2002,5,New York,Food,2,1.0,,2002 5 New York,O157:H7,420,47126,0.946,0.888,79.0,64.0,5.59,50.45,"5,155","5,417",103
61,98,2006,5,New York,Food,3,2.0,0.0,2006 5 New York,O157:H7,420,47126,0.946,0.888,79.0,64.0,5.59,50.45,"5,155","5,417",103
62,100,2000,3,New York,Food,43,2.0,,2000 3 New York,O157:H7,420,47126,0.946,0.888,60.0,44.0,5.59,50.45,"5,155","5,417",103
63,101,2006,3,New York,Food,6,4.0,0.0,2006 3 New York,O157:H7,420,47126,0.946,0.888,60.0,44.0,5.59,50.45,"5,155","5,417",103
