,Year,Month,State,Primary Mode,Illnesses,Outbreak ID,Strain,Density (Pop./ mi2),Landarea(mi2),HDI (2017)[note 1],HDI (1995),Average High (F),Average Low (F),Length of Genome,%GC,Protein Coding Genes,Genes Overall,tRNA Genes
43,2006,4,Ohio,Food,7,2006 4 Ohio,O157:H7,284,40861,0.917,0.8740000000000001,73,52,5.59,50.45,5155,5417,103
44,1999,4,Ohio,Food,12,1999 4 Ohio,O157:H7,284,40861,0.917,0.8740000000000001,73,52,5.59,50.45,5155,5417,103
45,2014,2,Ohio,Other,3,2014 2 Ohio,O157:H7,284,40861,0.917,0.8740000000000001,52,32,5.59,50.45,5155,5417,103
46,2011,2,Ohio,Other,3,2011 2 Ohio,O157:H7,284,40861,0.917,0.8740000000000001,52,32,5.59,50.45,5155,5417,103
47,2014,1,Ohio,Other,3,2014 1 Ohio,O157:H7,284,40861,0.917,0.8740000000000001,40,24,5.59,50.45,5155,5417,103
48,2015,1,Ohio,Other,3,2015 1 Ohio,O157:H7,284,40861,0.917,0.8740000000000001,40,24,5.59,50.45,5155,5417,103
49,2017,1,Ohio,Other,4,2017 1 Ohio,O157:H7,284,40861,0.917,0.8740000000000001,40,24,5.59,50.45,5155,5417,103
50,2014,5,Ohio,Other,4,2014 5 Ohio,O157:H7,284,40861,0.917,0.8740000000000001,82,61,5.59,50.45,5155,5417,103
51,1999,10,Ohio,Food,47,1999 10 Ohio,O157:H7,284,40861,0.917,0.8740000000000001,52,35,5.59,50.45,5155,5417,103
52,2003,10,Ohio,Food,10,2003 10 Ohio,O157:H7,284,40861,0.917,0.8740000000000001,52,35,5.59,50.45,5155,5417,103
53,2002,11,Ohio,Food,5,2002 11 Ohio,O157:H7,284,40861,0.917,0.8740000000000001,41,26,5.59,50.45,5155,5417,103
54,2011,5,Louisiana,Other,8,2011 5 Louisiana,O157:H7,108,43204,0.89,0.8490000000000001,89,74,5.59,50.45,5155,5417,103
55,2011,11,Louisiana,Other,2,2011 11 Louisiana,O157:H7,108,43204,0.89,0.8490000000000001,64,47,5.59,50.45,5155,5417,103
56,2012,11,Louisiana,Other,3,2012 11 Louisiana,O157:H7,108,43204,0.89,0.8490000000000001,64,47,5.59,50.45,5155,5417,103
57,2012,8,Louisiana,Food,3,2012 8 Louisiana,O157:H7,108,43204,0.89,0.8490000000000001,87,72,5.59,50.45,5155,5417,103
58,2013,10,Louisiana,Other,3,2013 10 Louisiana,O157:H7,108,43204,0.89,0.8490000000000001,72,53,5.59,50.45,5155,5417,103
59,2015,3,Louisiana,Other,15,2015 3 Louisiana,O157:H7,108,43204,0.89,0.8490000000000001,78,60,5.59,50.45,5155,5417,103
60,2002,5,New York,Food,2,2002 5 New York,O157:H7,420,47126,0.946,0.888,79,64,5.59,50.45,5155,5417,103
61,2006,5,New York,Food,3,2006 5 New York,O157:H7,420,47126,0.946,0.888,79,64,5.59,50.45,5155,5417,103
62,2000,3,New York,Food,43,2000 3 New York,O157:H7,420,47126,0.946,0.888,60,44,5.59,50.45,5155,5417,103
63,2006,3,New York,Food,6,2006 3 New York,O157:H7,420,47126,0.946,0.888,60,44,5.59,50.45,5155,5417,103
64,2011,3,New York,Food,2,2011 3 New York,O157:H7,420,47126,0.946,0.888,60,44,5.59,50.45,5155,5417,103
65,2011,7,New York,Food,2,2011 7 New York,O157:H7,420,47126,0.946,0.888,83,69,5.59,50.45,5155,5417,103
66,2009,7,New York,Food,2,2009 7 New York,O157:H7,420,47126,0.946,0.888,83,69,5.59,50.45,5155,5417,103
67,2009,7,New York,Food,2,2009 7 New York,O157:H7,420,47126,0.946,0.888,83,69,5.59,50.45,5155,5417,103
68,2009,7,New York,Food,3,2009 7 New York,O157:H7,420,47126,0.946,0.888,83,69,5.59,50.45,5155,5417,103
69,2000,7,New York,Food,2,2000 7 New York,O157:H7,420,47126,0.946,0.888,83,69,5.59,50.45,5155,5417,103
70,2001,7,New York,Food,9,2001 7 New York,O157:H7,420,47126,0.946,0.888,83,69,5.59,50.45,5155,5417,103
71,2007,7,New York,Food,3,2007 7 New York,O157:H7,420,47126,0.946,0.888,83,69,5.59,50.45,5155,5417,103
72,2007,7,New York,Food,2,2007 7 New York,O157:H7,420,47126,0.946,0.888,83,69,5.59,50.45,5155,5417,103
73,2008,7,New York,Food,8,2008 7 New York,O157:H7,420,47126,0.946,0.888,83,69,5.59,50.45,5155,5417,103
74,2009,8,New York,Food,2,2009 8 New York,O157:H7,420,47126,0.946,0.888,76,61,5.59,50.45,5155,5417,103
75,1998,8,New York,Food,5,1998 8 New York,O157:H7,420,47126,0.946,0.888,76,61,5.59,50.45,5155,5417,103
76,1998,8,New York,Food,19,1998 8 New York,O157:H7,420,47126,0.946,0.888,76,61,5.59,50.45,5155,5417,103
77,2001,8,New York,Food,2,2001 8 New York,O157:H7,420,47126,0.946,0.888,76,61,5.59,50.45,5155,5417,103
78,2005,10,New York,Food,3,2005 10 New York,O157:H7,420,47126,0.946,0.888,54,41,5.59,50.45,5155,5417,103
79,2011,10,New York,Other,2,2011 10 New York,O157:H7,420,47126,0.946,0.888,54,41,5.59,50.45,5155,5417,103
80,2000,9,New York,Food,18,2000 9 New York,O157:H7,420,47126,0.946,0.888,65,50,5.59,50.45,5155,5417,103
81,2008,9,New York,Food,8,2008 9 New York,O157:H7,420,47126,0.946,0.888,65,50,5.59,50.45,5155,5417,103
82,2010,6,New York,Food,3,2010 6 New York,O157:H7,420,47126,0.946,0.888,85,70,5.59,50.45,5155,5417,103
83,2015,6,New York,Food,2,2015 6 New York,O157:H7,420,47126,0.946,0.888,85,70,5.59,50.45,5155,5417,103
84,2004,11,New York,Food,2,2004 11 New York,O157:H7,420,47126,0.946,0.888,44,32,5.59,50.45,5155,5417,103
85,2005,1,New York,Food,2,2005 1 New York,O157:H7,420,47126,0.946,0.888,42,29,5.59,50.45,5155,5417,103
86,2006,1,New York,Food,2,2006 1 New York,O157:H7,420,47126,0.946,0.888,42,29,5.59,50.45,5155,5417,103
87,2011,1,New York,Food,2,2011 1 New York,O157:H7,420,47126,0.946,0.888,42,29,5.59,50.45,5155,5417,103
88,2011,2,New York,Food,2,2011 2 New York,O157:H7,420,47126,0.946,0.888,50,35,5.59,50.45,5155,5417,103
89,2010,7,Arizona,Food,16,2010 7 Arizona,O157:H7,60,113594,0.9129999999999999,0.875,104,83,5.59,50.45,5155,5417,103
90,2013,7,Arizona,Food,94,2013 7 Arizona,O157:H7,60,113594,0.9129999999999999,0.875,104,83,5.59,50.45,5155,5417,103
91,2013,8,Arizona,Other,8,2013 8 Arizona,O157:H7,60,113594,0.9129999999999999,0.875,100,77,5.59,50.45,5155,5417,103
92,2010,4,Arizona,Other,5,2010 4 Arizona,O157:H7,60,113594,0.9129999999999999,0.875,95,69,5.59,50.45,5155,5417,103
93,2013,10,Colorado,Food,9,2013 10 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,52,25,5.59,50.45,5155,5417,103
94,2010,10,Colorado,Other,6,2010 10 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,52,25,5.59,50.45,5155,5417,103
95,2014,6,Colorado,Other,3,2014 6 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,90,59,5.59,50.45,5155,5417,103
96,2000,6,Colorado,Food,16,2000 6 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,90,59,5.59,50.45,5155,5417,103
