,Year,Month,State,Primary Mode,Illnesses,Hospitalizations,Deaths,Outbreak ID,Strain,Density (Pop./ mi2),Landarea(mi2),HDI (2017)[note 1],HDI (1995),Average High (F),Average Low (F)
50,2014,6,Ohio,Other,6,1.0,0.0,2014 6 Ohio,O111,284,40861,0.917,0.874,85,65
51,2004,6,Ohio,Food,8,3.0,0.0,2004 6 Ohio,O157:H7,284,40861,0.917,0.874,85,65
52,2009,6,Ohio,Food,2,2.0,0.0,2009 6 Ohio,O157:H7,284,40861,0.917,0.874,85,65
53,2016,6,Ohio,Other,2,0.0,0.0,2016 6 Ohio,O157:H7,284,40861,0.917,0.874,85,65
54,2011,8,Ohio,Other,3,1.0,0.0,2011 8 Ohio,O157:H7,284,40861,0.917,0.874,77,56
55,2009,8,Ohio,Food,11,4.0,0.0,2009 8 Ohio,O157:H7,284,40861,0.917,0.874,77,56
56,2012,8,Ohio,Other,7,0.0,0.0,2012 8 Ohio,O157:H7,284,40861,0.917,0.874,77,56
57,2013,8,Ohio,Other,6,0.0,0.0,2013 8 Ohio,unknown,284,40861,0.917,0.874,77,56
58,2014,8,Ohio,Other,7,3.0,0.0,2014 8 Ohio,O157:H7,284,40861,0.917,0.874,77,56
59,2014,8,Ohio,Other,3,0.0,0.0,2014 8 Ohio,O157:H7,284,40861,0.917,0.874,77,56
60,2005,8,Ohio,Food,18,6.0,1.0,2005 8 Ohio,O157:H7,284,40861,0.917,0.874,77,56
61,2016,8,Ohio,Other,2,2.0,0.0,2016 8 Ohio,unknown,284,40861,0.917,0.874,77,56
62,2017,8,Ohio,Other,4,0.0,0.0,2017 8 Ohio,O103,284,40861,0.917,0.874,77,56
63,2011,9,Ohio,Food,4,1.0,0.0,2011 9 Ohio,O157:H7,284,40861,0.917,0.874,65,44
64,2011,9,Ohio,Other,3,2.0,1.0,2011 9 Ohio,O157:H7,284,40861,0.917,0.874,65,44
65,2002,9,Ohio,Food,13,5.0,0.0,2002 9 Ohio,O157:H7,284,40861,0.917,0.874,65,44
66,2015,9,Ohio,Other,4,4.0,0.0,2015 9 Ohio,O157:H7,284,40861,0.917,0.874,65,44
67,2010,9,Ohio,Other,5,0.0,0.0,2010 9 Ohio,O157:H7,284,40861,0.917,0.874,65,44
68,2009,4,Ohio,Food,3,2.0,0.0,2009 4 Ohio,O157:H7,284,40861,0.917,0.874,73,52
69,2006,4,Ohio,Food,7,5.0,0.0,2006 4 Ohio,O157:H7,284,40861,0.917,0.874,73,52
70,1999,4,Ohio,Food,12,1.0,0.0,1999 4 Ohio,O157:H7,284,40861,0.917,0.874,73,52
71,2014,2,Ohio,Other,3,0.0,0.0,2014 2 Ohio,O157:H7,284,40861,0.917,0.874,52,32
72,2017,2,Ohio,Other,15,0.0,0.0,2017 2 Ohio,unknown,284,40861,0.917,0.874,52,32
73,2011,2,Ohio,Other,3,1.0,0.0,2011 2 Ohio,O157:H7,284,40861,0.917,0.874,52,32
74,2014,3,Ohio,Other,3,0.0,0.0,2014 3 Ohio,O103,284,40861,0.917,0.874,63,41
75,2015,3,Ohio,Other,3,0.0,0.0,2015 3 Ohio,O111,284,40861,0.917,0.874,63,41
76,2014,1,Ohio,Other,3,1.0,0.0,2014 1 Ohio,O157:H7,284,40861,0.917,0.874,40,24
77,2015,1,Ohio,Other,3,0.0,0.0,2015 1 Ohio,O157:H7,284,40861,0.917,0.874,40,24
78,2017,1,Ohio,Other,4,2.0,0.0,2017 1 Ohio,O157:H7,284,40861,0.917,0.874,40,24
79,2014,5,Ohio,Other,4,0.0,0.0,2014 5 Ohio,O103,284,40861,0.917,0.874,82,61
80,2014,5,Ohio,Other,4,0.0,0.0,2014 5 Ohio,O157:H7,284,40861,0.917,0.874,82,61
